2024-10-09 13:51:08.305 MSK [4980] СООБЩЕНИЕ:  система БД была выключена: 2024-10-09 13:50:43 MSK
2024-10-09 13:56:08.315 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 13:56:08.340 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.007 сек., синхр.=0.004 сек., всего=0.040 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1F9F9E0, lsn redo=0/1F9F9A8
2024-10-09 15:06:08.433 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 15:06:10.428 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 19 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.961 сек., синхр.=0.022 сек., всего=1.997 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=66 kB, ожидалось=66 kB; lsn=0/1FB02C8, lsn redo=0/1FB0290
2024-10-09 15:21:08.444 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 15:21:08.695 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.217 сек., синхр.=0.007 сек., всего=0.252 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.005 сек., средняя=0.004 сек.; расстояние=11 kB, ожидалось=60 kB; lsn=0/1FB2F98, lsn redo=0/1FB2F60
2024-10-09 15:41:08.736 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 15:41:08.868 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.116 сек., синхр.=0.004 сек., всего=0.133 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.004 сек., средняя=0.004 сек.; расстояние=0 kB, ожидалось=54 kB; lsn=0/1FB3170, lsn redo=0/1FB3138
2024-10-09 15:56:08.893 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 15:56:18.906 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 92 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=9.958 сек., синхр.=0.039 сек., всего=10.014 сек.; синхронизировано_файлов=65, самая_долгая_синхр.=0.005 сек., средняя=0.001 сек.; расстояние=438 kB, ожидалось=438 kB; lsn=0/2020A60, lsn redo=0/2020A28
2024-10-09 16:46:09.006 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 16:46:15.174 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 57 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=6.099 сек., синхр.=0.054 сек., всего=6.169 сек.; синхронизировано_файлов=40, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=330 kB, ожидалось=427 kB; lsn=0/2073610, lsn redo=0/20735D8
2024-10-09 16:51:09.180 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 16:51:09.422 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.223 сек., синхр.=0.005 сек., всего=0.243 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.004 сек., средняя=0.003 сек.; расстояние=13 kB, ожидалось=386 kB; lsn=0/2076C90, lsn redo=0/2076C58
2024-10-09 16:56:09.427 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 16:56:18.956 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 87 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=9.410 сек., синхр.=0.075 сек., всего=9.529 сек.; синхронизировано_файлов=59, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=445 kB, ожидалось=445 kB; lsn=0/20E6390, lsn redo=0/20E6358
2024-10-09 17:11:09.981 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 17:11:12.221 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.214 сек., синхр.=0.016 сек., всего=2.241 сек.; синхронизировано_файлов=19, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=35 kB, ожидалось=404 kB; lsn=0/20EF388, lsn redo=0/20EF318
2024-10-09 17:16:09.231 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 17:16:10.822 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 15 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.558 сек., синхр.=0.012 сек., всего=1.591 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=33 kB, ожидалось=367 kB; lsn=0/20F7968, lsn redo=0/20F7930
2024-10-09 17:41:09.872 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 17:41:11.662 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 17 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.759 сек., синхр.=0.013 сек., всего=1.791 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=331 kB; lsn=0/20F91F8, lsn redo=0/20F91C0
2024-10-09 17:46:09.668 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 17:46:12.895 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 30 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=3.198 сек., синхр.=0.016 сек., всего=3.228 сек.; синхронизировано_файлов=23, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=23 kB, ожидалось=300 kB; lsn=0/20FEF88, lsn redo=0/20FEF50
2024-10-09 22:21:58.207 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 22:22:08.906 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 98 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=10.588 сек., синхр.=0.093 сек., всего=10.705 сек.; синхронизировано_файлов=78, самая_долгая_синхр.=0.007 сек., средняя=0.002 сек.; расстояние=601 kB, ожидалось=601 kB; lsn=0/2195688, lsn redo=0/2195650
2024-10-09 23:21:58.990 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:22:01.210 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.189 сек., синхр.=0.020 сек., всего=2.220 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=51 kB, ожидалось=546 kB; lsn=0/21A2300, lsn redo=0/21A22C8
2024-10-09 23:26:58.213 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:26:59.555 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 13 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.316 сек., синхр.=0.013 сек., всего=1.343 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=492 kB; lsn=0/21A3968, lsn redo=0/21A3930
2024-10-09 23:31:58.566 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:31:59.928 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 13 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.316 сек., синхр.=0.021 сек., всего=1.362 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=443 kB; lsn=0/21A50F0, lsn redo=0/21A50B8
2024-10-09 23:36:58.944 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:37:00.400 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.431 сек., синхр.=0.010 сек., всего=1.456 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=13 kB, ожидалось=400 kB; lsn=0/21A8848, lsn redo=0/21A8810
2024-10-09 23:46:58.421 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-09 23:47:01.206 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 26 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.732 сек., синхр.=0.033 сек., всего=2.785 сек.; синхронизировано_файлов=21, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=49 kB, ожидалось=365 kB; lsn=0/21B5020, lsn redo=0/21B4FE8
2024-10-10 00:01:58.240 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
